customer_id,last_purchase,first_purchase,frequency,monetary,total_revenue,total_items,recency,customer_tenure_days,velocity_decay_ratio,category_hhi,spend_cv,country_count,primary_country,avg_items_per_order,return_rate,cancellation_rate
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,2281.0723529411766,77556.46,74285,326,400,0.9950980392156863,0.19550173010380628,5.802070855335913,1,United Kingdom,6190.416666666667,1.3404556208655321e-05,9.323487730290146e-05
12347,2011-12-07 15:52:00,2010-10-31 14:20:00,8,22.26608695652174,5633.32,3286,2,402,3.63953488372093,0.24923057695011638,0.925582152569091,1,Iceland,410.75,0.0,0.0
12348,2011-09-25 13:13:00,2010-09-27 14:59:00,5,36.052173913043475,1658.3999999999999,2704,75,362,3.3717391304347823,0.3676748582230624,0.9739092118618119,1,Finland,540.8,0.0,0.0
12349,2011-11-21 09:51:00,2010-04-29 13:20:00,3,21.387732558139536,3678.69,1621,19,570,2.1241809071052296,0.2669010275824771,0.7081659874254786,1,Italy,540.3333333333334,4.787341503091187e-06,1.8646975460580295e-05
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,18.4,294.4,196,310,0,1.0,0.2734375,0.2833810516175685,1,Norway,196.0,0.0,0.0
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,14.33,300.93,261,375,0,1.0,0.5374149659863947,0.28016166625440986,1,Unspecified,261.0,0.0,0.0
12352,2011-11-03 14:37:00,2010-11-12 10:20:00,9,18.205684210526314,1729.54,714,36,356,1.7364341085271318,0.3604432132963989,0.2882799207267384,1,Norway,79.33333333333333,9.574683006182373e-06,5.594092638174088e-05
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,16.948333333333334,406.76,212,204,204,1.0,0.3055555555555555,0.5192008314587594,1,Bahrain,106.0,0.0,0.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,18.610344827586207,1079.4,530,232,0,1.0,0.2847800237812128,0.4663934046784049,1,Spain,530.0,0.0,0.0
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,27.074571428571428,947.61,543,214,353,1.0,0.24897959183673468,0.8166509670181028,1,Bahrain,271.5,0.0,0.0
12356,2011-11-17 08:40:00,2010-10-11 09:42:00,6,40.09771428571429,5613.68,3377,23,401,8.16079734219269,0.2827551020408163,1.2439934107127975,1,Portugal,562.8333333333334,0.0,0.0
12357,2011-11-06 16:07:00,2010-11-16 10:05:00,2,59.11071186440678,17437.66,6586,33,355,1.0,0.36351623096811253,1.094823525843465,1,Switzerland,3293.0,0.0,0.0
12358,2011-12-08 10:26:00,2009-12-08 07:59:00,5,46.58202702702703,3447.07,1068,2,730,1.0223068138561096,0.17567567567567566,1.3936002308641893,1,Austria,213.6,0.0,0.0
12359,2011-10-13 12:47:00,2009-12-05 13:32:00,10,24.482027397260275,8935.94,2752,58,676,0.5784543325526932,0.3262826046162507,1.1162762456657158,1,Cyprus,275.2,9.574683006182373e-06,7.458790184232118e-05
12360,2011-10-18 15:22:00,2010-02-22 09:32:00,6,17.122701421800947,3612.89,2443,52,603,0.3259911894273128,0.2884706093753509,0.7115577343237256,1,Austria,407.1666666666667,9.574683006182372e-07,1.8646975460580295e-05
12361,2011-02-25 13:51:00,2010-01-26 14:37:00,4,18.05,451.25,231,287,394,0.7945205479452054,0.45280000000000004,0.22059151149376083,1,Belgium,57.75,0.0,0.0
12362,2011-12-06 15:40:00,2011-02-17 10:30:00,10,18.5048046875,4737.23,2197,3,292,0.2963093891402715,0.28411865234375,0.40865644518368094,1,Belgium,219.7,7.659746404945898e-06,5.594092638174088e-05
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,24.0,552.0,408,110,132,1.0,0.3308128544423441,0.6563016213463274,1,Unspecified,204.0,0.0,0.0
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,14.914814814814815,1208.1,1499,8,104,0.45070422535211274,0.33790580704160944,0.5590175220111732,1,Belgium,374.75,0.0,0.0
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,15.27095238095238,320.69,173,291,0,1.0,0.34240362811791375,0.218104992896815,1,Cyprus,173.0,9.574683006182372e-07,1.8646975460580295e-05
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,166.74666666666667,500.24,296,634,0,1.0,0.5555555555555556,0.04681218398834797,1,Cyprus,296.0,0.0,0.0
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,15.09,150.9,172,4,0,1.0,0.36,0.3898118932986773,1,Denmark,172.0,0.0,0.0
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,50.98333333333333,917.6999999999999,330,628,0,1.0,0.23456790123456794,0.5741447739011322,1,Cyprus,330.0,0.0,0.0
12369,2010-10-22 13:13:00,2010-03-08 08:09:00,3,16.790555555555557,1511.15,1234,413,228,0.17824074074074076,0.3249382716049382,0.9228212972924817,1,Austria,411.3333333333333,0.0,0.0
12370,2011-10-19 14:51:00,2010-02-09 09:41:00,7,20.001565656565656,3960.31,2596,51,617,0.98989898989899,0.2793592490562188,0.9074335524303618,2,Cyprus,370.85714285714283,0.0,0.0
12371,2011-10-11 10:43:00,2010-03-04 18:23:00,4,20.536073619631903,3347.38,1418,60,585,1.4851063829787232,0.19944295984041552,0.5331752166492697,1,Switzerland,354.5,0.0,0.0
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,24.408979591836733,1196.04,788,72,224,1.6987951807228916,0.58600583090379,0.6846106684133061,1,Denmark,262.6666666666667,0.0,0.0
12373,2011-02-01 13:10:00,2010-02-04 12:08:00,3,19.32604166666667,927.6500000000001,511,311,362,6.1020408163265305,0.3342013888888889,0.4866166200631297,1,Austria,170.33333333333334,0.0,0.0
